#BIOGRID ID	ENTREZ GENE ID	SYSTEMATIC NAME	OFFICIAL SYMBOL	SYNONYMS	ORGANISM ID	ORGANISM NAME	INTERACTION COUNT	PTM COUNT	CHEMICAL INTERACTION COUNT	SOURCE	VIRUS VALUES	VIRUS IDS	VIRUS TAGS	VIRUS EVIDENCE VALUES	VIRUS EVIDENCE IDS	VIRUS EVIDENCE CLASSES	VIRUS EVIDENCE METHODS
4383847	43740575	GU280_gp10	N	nuc|nucleocapsid|SARS-CoV2 N|N protein|ncap|SARS-CoV-2 N|Nucleoprotein|NCAP_SARS2|PRO_0000449656	2697049	Severe acute respiratory syndrome coronavirus 2	227	25	0	BIOGRID	SARS-CoV-2	-	-	-	-	-	-
4383929	1489680	SARS-CoV-1a-nsp3a	nsp3a	nsp3|sars1a|orf1a|SARS-CoV nsp3a|SARS-CoV nsp3|SARS-CoV sars1a|orf1a-nsp3|orf1a-nsp3a|pp1a|PL2-PRO|Papain-like proteinase|PL-PRO|R1A_CVHSA|PRO_0000338257	694009	Severe acute respiratory syndrome coronavirus	0	0	0	BIOGRID	SARS-CoV	-	-	-	-	-	-
4383845	43740570	GU280_gp04	E	env|envelope|SARS-CoV2 E|E protein|emp|SARS-CoV-2 E|VEMP_SARS2|PRO_0000449651	2697049	Severe acute respiratory syndrome coronavirus 2	1119	0	0	BIOGRID	SARS-CoV-2	-	-	-	-	-	-
4383920	1489674	SARS-CoV-7a	ORF7a	7a|ns7a|U122|X4|SARS-CoV sars7a|ORF7a|SARS-CoV ORF7a|U122|X4|NS7A_CVHSA|PRO_0000037435	694009	Severe acute respiratory syndrome coronavirus	51	0	0	BIOGRID	SARS-CoV	-	-	-	-	-	-
4383921	1489675	SARS-CoV-7b	ORF7b	7b|ns7b|SARS-CoV sars7b|ORF7b|SARS-CoV ORF7b|NS7B_CVHSA|PRO_0000283857	694009	Severe acute respiratory syndrome coronavirus	262	0	0	BIOGRID	SARS-CoV	-	-	-	-	-	-
4383922	1489676	SARS-CoV-8a	ORF8a	8a|ns8a|SARS-CoV sars8a|ORF8a|SARS-CoV ORF8a|NS8A_CVHSA|PRO_0000283858	694009	Severe acute respiratory syndrome coronavirus	32	0	0	BIOGRID	SARS-CoV	-	-	-	-	-	-
4383923	1489677	SARS-CoV-8b	ORF8b	8b|ns8b|SARS-CoV sars8b|ORF8b|SARS-CoV ORF8b|NS8B_CVHSA|PRO_0000106135	694009	Severe acute respiratory syndrome coronavirus	66	0	0	BIOGRID	SARS-CoV	-	-	-	-	-	-
4383924	1489679	SARS-CoV-9b	ORF9b	9b|ns9b|SARS-CoV sars9b|ORF9b|SARS-CoV ORF9b|ORF9B_CVHSA|PRO_0000106137	694009	Severe acute respiratory syndrome coronavirus	88	0	0	BIOGRID	SARS-CoV	-	-	-	-	-	-
4383925	-	SARS-CoV-14	ORF14	14|ns14|SARS-CoV sars14|ORF14|SARS-CoV ORF14|Y14_CVHSA|PRO_0000289937	694009	Severe acute respiratory syndrome coronavirus	10	0	0	BIOGRID	SARS-CoV	-	-	-	-	-	-
4383849	43740578	GU280_gp01	ORF1ab	ORF1ab polyprotein|1ab|SARS-CoV2 ORF1ab|SARS-CoV-2 ORF1ab|Replicase|R1AB_SARS2|PRO_0000449618	2697049	Severe acute respiratory syndrome coronavirus 2	0	7	0	BIOGRID	SARS-CoV-2	-	-	-	-	-	-
