Bait	Protein ID	Protein accession	Gene name	Reproducibility	Abundance	Specificity	MiST	spec count	Fold change
M	NU155	O75694	NUP155	0.9972	0.0006	1	0.99318	33	330
M	CHIP	Q9UNE7	STUB1	1	0.0023	1	0.99405	27	270
M	XPO4	Q9C0E2	XPO4	0.9902	0.0006	0.8241	0.87041	27	270
M	IPO11	Q9UI26	IPO11	0.995	0.0007	0.7682	0.83357	26	260
M	EXOC7	Q9UPT5	EXOC7	0.997	0.0006	1	0.99312	15.5	155
M	UTP20	O75691	UTP20	0.9993	0.0001	0.8417	0.88532	15	150
M	LMNB1	P20700	LMNB1	0.9914	0.0006	1	0.9914	13	130
M	DNJB5	O75953	DNAJB5	0.9649	0.0009	1	0.98322	12	120
M	AT1B1	P05026	ATP1B1	0.9999	0.001	1	0.99402	11.5	115
M	DNJB4	Q9UDY4	DNAJB4	0.9999	0.0009	1	0.99402	11.5	115
M	ANKH1	Q8IWZ3	ANKHD1	0.9959	0.0001	0.8305	0.87658	11.5	11.5
M	TBCD9	Q6ZT07	TBC1D9	0.9891	0.0002	1	0.99068	11	110
M	COG4	Q9H9E3	COG4	0.9571	0.0004	1	0.9808	11	22
M	AAAT	Q15758	SLC1A5	0.9993	0.0005	0.8092	0.86299	11	110
M	NU133	Q8WUM0	NUP133	0.9954	0.0002	1	0.99263	10.5	105
M	BTAF1	O14981	BTAF1	0.9687	0.0001	1	0.98438	10.5	105
M	BIG2	Q9Y6D5	ARFGEF2	0.8801	0.0002	1	0.95704	10.5	105
M	EXOC5	O00471	EXOC5	0.9954	0.0004	0.8006	0.85596	10.5	105
M	EXOC4	Q96A65	EXOC4	0.9793	0.0003	1	0.98766	10	100
M	SGMR1	Q99720	SIGMAR1	0.9793	0.0012	1	0.98766	10	100
M	REEP5	Q00765	REEP5	0.9466	0.0014	1	0.97756	10	100
M	ATPO	P48047	ATP5PO	0.9997	0.0012	1	0.99395	9.5	95
M	EXOC6	Q8TAG9	EXOC6	0.9997	0.0003	1	0.99395	9.5	95
M	ATG9A	Q7Z3C6	ATG9A	0.9955	0.0003	1	0.99264	9	90
M	ATP5H	O75947	ATP5PD	0.9995	0.0014	1	0.99389	8.5	85
M	NUP85	Q9BW27	NUP85	0.9995	0.0003	1	0.99388	8.5	85
M	TIM	Q9UNS1	TIMELESS	0.9995	0.0002	1	0.99388	8.5	85
Nsp1	DDX60	Q8IY21	DDX60	0.9959	0.0005	1	0.99278	14.5	145
Nsp15	PUM3	Q15397	PUM3	0.9994	0.0008	0.8604	0.89816	22	220
Nsp15	NEUA	Q8NFW8	CMAS	0.9962	0.001	1	0.99286	18	180
Nsp15	GLYR1	Q49A26	GLYR1	0.9988	0.0007	0.7874	0.84789	17	170
Nsp15	BLM	P54132	BLM	0.9998	0.0003	1	0.99397	16	10.66666667
Nsp15	IF2B	P20042	EIF2S2	0.9998	0.001	0.8207	0.87109	14	140
Nsp15	RPA2	Q9H9Y6	POLR1B	0.9704	0.0003	0.8298	0.86825	13.5	27
Nsp15	SRPK3	Q9UPE1	SRPK3	0.9936	0.0005	0.7677	0.83284	13.5	13.5
Nsp15	ASCC3	Q8N3C0	ASCC3	0.9998	0.0001	0.7613	0.83031	13	130
Nsp15	SPA5L	Q9BVQ7	SPATA5L1	0.9998	0.0004	0.7613	0.83031	13	130
Nsp15	CTCF	P49711	CTCF	0.9927	0.0004	1	0.99179	12	120
Nsp15	ELOA1	Q14241	ELOA	0.9995	0.0003	1	0.99389	11.5	115
Nsp15	CSTOS	Q96C57	CUSTOS	0.9998	0.001	0.8119	0.86505	11	110
Nsp15	REXO4	Q9GZR2	REXO4	0.9961	0.0006	0.7672	0.83324	11	110
Nsp15	KIF2B	Q8N4N8	KIF2B	0.997	0.0004	1	0.9931	10.5	105
Nsp15	NPA1P	O60287	URB1	0.9643	0.0001	0.7737	0.82792	10.5	105
Nsp15	TRM2A	Q8IZ69	TRMT2A	0.9998	0.0004	1	0.99397	10	100
Nsp15	NXF1	Q9UBU9	NXF1	0.941	0.0004	1	0.97583	10	100
Nsp15	LLPH	Q9BRT6	LLPH	0.941	0.0019	0.7961	0.83606	10	100
Nsp15	NKTR	P30414	NKTR	0.9991	0.0002	1	0.99376	9.5	95
Nsp15	CCD86	Q9H6F5	CCDC86	0.9998	0.0006	1	0.99398	9	90
Nsp15	CHD3	Q12873	CHD3	0.9998	0.0001	1	0.99397	9	90
