original label,Bait.Mann,bait_full_name,gene_name,median_log2,p_value
E,E,SARS_CoV_E,UFD1,9.969619544,6.02E-276
E,E,SARS_CoV_E,NPLOC4,8.854111581,3.19E-20
E,E,SARS_CoV_E,SARS_CoV_E,9.536132566,1.49E-68
E,E,SARS_CoV_E,RAB34,7.876417793,4.42E-11
E,E,SARS_CoV_E,FAM241B,6.863365966,3.47E-04
E,E,SARS_CoV_E,CEP170B,7.201443249,1.12E-05
E,E,SARS_CoV_E,HAVCR1,8.760683673,1.29E-68
E,E,SARS_CoV_E,FAF2,2.711268285,3.95E-06
E,E,SARS_CoV2_E,TTF1,7.425526006,5.03E-05
E,E,SARS_CoV2_E,STIP1,2.228782061,3.34E-04
E,E,SARS_CoV2_E,MDH1,7.884941541,2.63E-05
E,E,SARS_CoV2_E,CS,10.02574826,7.51E-49
E,E,SARS_CoV2_E,RBM5,8.082497627,5.00E-05
E,E,SARS_CoV2_E,RPL39...,2.354461843,6.20E-04
E,E,SARS_CoV2_E,PRPF40A,3.528038409,3.75E-04
E,E,SARS_CoV2_E,ATP6V1B1...,7.188133462,1.81E-04
E,E,SARS_CoV2_E,TAF4,2.319687321,9.97E-04
E,E,SARS_CoV2_E,SARS_CoV2_E,12.29444845,0.00E+00
E,E,SARS_CoV2_E,CAAP1,2.207974859,1.60E-13
E,E,SARS_CoV2_E,NOP53,2.108265986,5.52E-23
M,M,SARS_CoV_M,GPR89A...,6.717811513,5.89E-05
M,M,SARS_CoV_M,DENND11,7.166902173,3.52E-53
M,M,SARS_CoV_M,VPS13A,9.891902176,1.70E-16
M,M,SARS_CoV_M,ATP12A,7.641975499,3.53E-04
M,M,SARS_CoV_M,CAV1,6.475269438,2.02E-27
M,M,SARS_CoV_M,ATG9A,10.44023491,1.29E-04
M,M,SARS_CoV_M,SLC35B4,7.697919817,5.93E-05
M,M,SARS_CoV_M,MALL,10.51430476,1.75E-82
M,M,SARS_CoV_M,POMT1,6.975635455,6.85E-04
M,M,SARS_CoV_M,CASC4,8.925613863,1.78E-34
M,M,SARS_CoV_M,ODR4,7.60296996,3.82E-04
M,M,SARS_CoV_M,C5,7.077169246,7.44E-05
M,M,SARS_CoV_M,PPP4R2,5.810889352,1.01E-04
M,M,SARS_CoV_M,RAD17,6.202466159,3.03E-04
M,M,SARS_CoV_M,CAV2,11.38359087,9.55E-06
M,M,SARS_CoV_M,UPK1B,6.936282959,2.10E-04
M,M,SARS_CoV_M,FKRP,6.737127232,1.13E-05
M,M,SARS_CoV_M,TMEM41A,6.516109476,5.20E-04
M,M,SARS_CoV_M,BLM,10.95175268,1.09E-05
M,M,SARS_CoV_M,SLC25A2...,6.954649139,9.38E-06
M,M,SARS_CoV_M,TMED2,6.353294183,2.63E-04
M,M,SARS_CoV_M,ENDOD1,8.699282216,4.14E-109
M,M,SARS_CoV_M,TACO1,8.439364987,5.68E-158
M,M,SARS_CoV_M,FUT8,6.578189446,1.50E-04
M,M,SARS_CoV_M,ALG6,7.098773962,7.80E-05
M,M,SARS_CoV_M,SLC9A1,8.00937298,4.22E-05
M,M,SARS_CoV_M,TYW1,7.585314594,2.58E-10
M,M,SARS_CoV_M,CAV2,8.49398213,9.89E-40
M,M,SARS_CoV_M,LMBRD2,7.12686111,4.60E-05
M,M,SARS_CoV_M,CUX1,7.684463987,5.46E-05
M,M,SARS_CoV2_M,ABCC10,6.17695434,5.73E-24
M,M,SARS_CoV2_M,PCCA,8.988581457,3.22E-304
M,M,SARS_CoV2_M,DENND11,8.824984,0.00E+00
M,M,SARS_CoV2_M,PLEKHG4,7.642333583,3.27E-52
M,M,SARS_CoV2_M,TRIM7,6.250682528,1.20E-04
M,M,SARS_CoV2_M,VPS13A,11.02483522,2.15E-129
M,M,SARS_CoV2_M,SLC29A3,8.039197516,1.83E-06
M,M,SARS_CoV2_M,ATP7B,6.018959926,1.89E-04
M,M,SARS_CoV2_M,ACSF2,7.665690231,3.46E-123
M,M,SARS_CoV2_M,KIAA0355,7.32503759,1.54E-05
