Cell.line	Norm.expression	sd
Vero E6	0.00E+00	0
H522	3.12E-11	
H522	5.75E-11	
H522	8.83E-12	
H596	6.48E-10	
H596	8.08E-10	
H596	7.94E-11	
H1299	0.00E+00	
H1299	0.00E+00	
H1299	0.00E+00	
A427	1.00E-11	
A427	0.00E+00	
A427	0.00E+00	
HCC827	9.89E-11	
HCC827	6.89E-10	
HCC827	2.56E-11	
PC-9	3.95E-11	
PC-9	2.81E-10	
PC-9	4.71E-11	
Detroit562	1.15E-08	
Detroit562	1.25E-08	
Detroit562	1.98E-09	
SCC25	0.00E+00	
SCC25	0.00E+00	
SCC25	0.00E+00	
KYSE30	5.41E-11	
KYSE30	2.66E-10	
KYSE30	1.29E-11	
OE21	4.32E-11	
OE21	8.49E-11	
OE21	8.34E-11	
