MOI,Time,Viral Load,Replicate
0.015,4,1,1
0.015,24,1297,1
0.015,48,4950,1
0.015,72,7813,1
0.015,96,13265,1
0.015,4,5,2
0.015,24,4223,2
0.015,48,18319,2
0.015,72,112721,2
0.015,96,253732,2
0.06,4,14,1
0.06,24,19497,1
0.06,48,47493,1
0.06,72,23377,1
0.06,96,31326,1
0.06,4,38,2
0.06,24,28381,2
0.06,48,143488,2
0.06,72,601528,2
0.06,96,665933,2
0.25,4,0,1
0.25,24,87249,1
0.25,48,207724,1
0.25,72,91213,1
0.25,96,35530,1
0.25,4,174,2
0.25,24,171269,2
0.25,48,478219,2
0.25,72,731935,2
0.25,96,722053,2
1,4,30,1
1,24,96621,1
1,48,73230,1
1,72,186504,1
1,96,86661,1
1,4,241,2
1,24,229694,2
1,48,582550,2
1,72,856846,2
1,96,459226,2
