Condition,Copies
Mock,5.57E+04
2B04,4.60E+01
2H04,3.23E+02
SARS2-02,2.07E+02
SARS2-38,1.17E+02
SARS2-71,1.55E+02
SARS2-31,1.48E+02
SARS2-57,3.01E+02
SARS2-11,4.50E+01
2B04,2.23E+02
2H04,2.11E+02
SARS2-38,1.12E+02
SARS2-71,2.21E+02
SARS2-31,1.30E+01
SARS2-57,6.00E+01
SARS2-11,2.63E+02
Mock,204895
2B04,1.14E+02
2H04,1.80E+01
SARS2-02,3.15E+02
SARS2-71,2.34E+02
SARS2-31,2.91E+02
SARS2-57,2.28E+02
SARS2-11,2.73E+02
Mock,5.42E+03
2B04,6.00E+01
2H04,2.17E+02
SARS2-38,4.63E+02
SARS2-71,2.07E+02
SARS2-31,3.51E+02
SARS2-57,1.17E+02
SARS2-11,8.46E+02
Mock,3.85E+03
2B04,1.13E+02
2H04,2.20E+01
Mock,5.52E+04
2B04,1.46E+02
2H04,4.20E+01
Mock,1.09E+03
2H04,1.58E+02
Mock,7.08E+04
Mock,8.21E+03
