Condition,Copies
Mock,7.42E+07
2B04,1.72E+04
2H04,6.99E+04
SARS2-02,7.22E+03
SARS2-38,3.35E+03
SARS2-71,6.34E+03
SARS2-31,4.39E+03
SARS2-57,8.75E+06
SARS2-11,2.40E+07
Mock,6.20E+07
2B04,1.11E+04
2H04,1.07E+05
SARS2-02,4.62E+03
SARS2-38,4.36E+03
SARS2-71,7.57E+03
SARS2-31,7.00E+03
SARS2-57,3.35E+06
Mock,6.67E+07
2B04,5002
2H04,2.61E+05
Mock,5.75E+07
2B04,3.86E+03
2H04,4.60E+04
Mock,6.92E+07
2B04,187
2H04,87378
SARS2-02,5.35E+02
SARS2-38,50539
SARS2-71,818
SARS2-31,121
SARS2-57,2631620
SARS2-11,6248067
Mock,8.40E+07
Mock,7.06E+07
Mock,4.09E+07
Mock,4480106
Mock,4300070
Mock,3104572
