MOI,Time,Cells,Replicate,Cell.line
0,0,0.01099717,1,Vero E6
0,1,0,1,Vero E6
0,2,0,1,Vero E6
0,3,0,1,Vero E6
0,4,0,1,Vero E6
0,5,0,1,Vero E6
0,6,0,1,Vero E6
0,7,0,1,Vero E6
0,8,0,1,Vero E6
0,9,0,1,Vero E6
0,10,0.009498705,1,Vero E6
0,11,0.009383063,1,Vero E6
0,12,0.009209163,1,Vero E6
0,13,0.01907873,1,Vero E6
0,14,0.01859418,1,Vero E6
0,15,0.01819012,1,Vero E6
0,16,0.0177568,1,Vero E6
0,17,0.01728229,1,Vero E6
0,18,0.01684391,1,Vero E6
0,19,0.02579707,1,Vero E6
0,20,0.03441638,1,Vero E6
0,21,0.01588601,1,Vero E6
0,22,0.01574163,1,Vero E6
0,23,0.01549735,1,Vero E6
0,24,0.02382976,1,Vero E6
0,25,0.0318018,1,Vero E6
0,26,0.02312032,1,Vero E6
0,27,0.03100935,1,Vero E6
0,28,0.0308537,1,Vero E6
0,29,0.04599504,1,Vero E6
0,30,0.03806254,1,Vero E6
0,31,0.04554936,1,Vero E6
0,32,0.03718579,1,Vero E6
0,33,0.04445642,1,Vero E6
0,34,0.01359437,1,Vero E6
0,35,0.02780508,1,Vero E6
0,36,0.03483139,1,Vero E6
0,37,0.03413327,1,Vero E6
0,38,0.04817599,1,Vero E6
0,39,0.04085276,1,Vero E6
0,40,0.04010886,1,Vero E6
0,41,0.06043249,1,Vero E6
0,42,0.05958641,1,Vero E6
0,43,0.0459082,1,Vero E6
0,44,0.05186684,1,Vero E6
0,45,0.03835741,1,Vero E6
0,46,0.05726651,1,Vero E6
0,47,0.05021603,1,Vero E6
0,48,0.05632827,1,Vero E6
0,0,0,2,Vero E6
0,1,0,2,Vero E6
0,2,0,2,Vero E6
0,3,0,2,Vero E6
0,4,0,2,Vero E6
0,5,0,2,Vero E6
0,6,0,2,Vero E6
0,7,0,2,Vero E6
0,8,0,2,Vero E6
0,9,0,2,Vero E6
0,10,0,2,Vero E6
0,11,0,2,Vero E6
0,12,0,2,Vero E6
0,13,0,2,Vero E6
0,14,0,2,Vero E6
0,15,0,2,Vero E6
0,16,0,2,Vero E6
0,17,0,2,Vero E6
0,18,0,2,Vero E6
0,19,0.008734196,2,Vero E6
0,20,0.00852624,2,Vero E6
0,21,0.008380122,2,Vero E6
0,22,0.008217095,2,Vero E6
0,23,0.008156108,2,Vero E6
0,24,0.008068583,2,Vero E6
0,25,0.007956083,2,Vero E6
0,26,0.00783868,2,Vero E6
0,27,0.00777741,2,Vero E6
0,28,0.007657554,2,Vero E6
0,29,0.007556152,2,Vero E6
0,30,0.007451981,2,Vero E6
0,31,0.007370011,2,Vero E6
0,32,0.007286372,2,Vero E6
0,33,0.007174373,2,Vero E6
0,34,0.007095092,2,Vero E6
0,35,0.007022349,2,Vero E6
0,36,0.006930728,2,Vero E6
0,37,0.01293217,2,Vero E6
0,38,0.00678127,2,Vero E6
0,39,0.01270498,2,Vero E6
0,40,0.01252681,2,Vero E6
0,41,0.01236804,2,Vero E6
0,42,0.006455882,2,Vero E6
0,43,0.01219156,2,Vero E6
0,44,0.006345479,2,Vero E6
0,45,0.01893184,2,Vero E6
0,46,0.01859642,2,Vero E6
0,47,0.01845156,2,Vero E6
0,48,0.0183074,2,Vero E6
0,0,0,3,Vero E6
0,1,0,3,Vero E6
0,2,0,3,Vero E6
0,3,0,3,Vero E6
0,4,0,3,Vero E6
0,5,0,3,Vero E6
0,6,0,3,Vero E6
0,7,0,3,Vero E6
0,8,0,3,Vero E6
0,9,0,3,Vero E6
0,10,0,3,Vero E6
0,11,0,3,Vero E6
0,12,0,3,Vero E6
0,13,0,3,Vero E6
0,14,0,3,Vero E6
0,15,0,3,Vero E6
0,16,0,3,Vero E6
0,17,0,3,Vero E6
0,18,0,3,Vero E6
0,19,0,3,Vero E6
0,20,0,3,Vero E6
0,21,0.007129489,3,Vero E6
0,22,0.006990441,3,Vero E6
0,23,0.006912045,3,Vero E6
0,24,0.00680967,3,Vero E6
0,25,0.006722011,3,Vero E6
0,26,0.00664518,3,Vero E6
0,27,0.006586964,3,Vero E6
0,28,0.01370617,3,Vero E6
0,29,0.0135931,3,Vero E6
0,30,0.006396929,3,Vero E6
0,31,0.01330011,3,Vero E6
0,32,0.00629495,3,Vero E6
0,33,0.01307373,3,Vero E6
0,34,0.01294598,3,Vero E6
0,35,0.01276278,3,Vero E6
0,36,0.01271492,3,Vero E6
0,37,0.01940156,3,Vero E6
0,38,0.01268897,3,Vero E6
0,39,0.01258328,3,Vero E6
0,40,0.005955483,3,Vero E6
0,41,0.01236938,3,Vero E6
0,42,0.01225183,3,Vero E6
0,43,0.01213612,3,Vero E6
0,44,0.01832795,3,Vero E6
0,45,0.01818287,3,Vero E6
0,46,0.03093298,3,Vero E6
0,47,0.02450217,3,Vero E6
0,48,0.0430706,3,Vero E6
0.01,0,0.02332284,1,Vero E6
0.01,1,0.02274396,1,Vero E6
0.01,2,0.02190139,1,Vero E6
0.01,3,0.01182872,1,Vero E6
0.01,4,0.01166317,1,Vero E6
0.01,5,0.1044205,1,Vero E6
0.01,6,0.2588883,1,Vero E6
0.01,7,0.4828812,1,Vero E6
0.01,8,0.8584725,1,Vero E6
0.01,9,1.331068,1,Vero E6
0.01,10,1.908513,1,Vero E6
0.01,11,2.386689,1,Vero E6
0.01,12,3.130214,1,Vero E6
0.01,13,3.747581,1,Vero E6
0.01,14,4.624397,1,Vero E6
0.01,15,5.676547,1,Vero E6
0.01,16,6.60369,1,Vero E6
0.01,17,7.883478,1,Vero E6
0.01,18,8.967863,1,Vero E6
0.01,19,9.981487,1,Vero E6
0.01,20,11.0353,1,Vero E6
0.01,21,13.00679,1,Vero E6
0.01,22,14.07906,1,Vero E6
0.01,23,15.64067,1,Vero E6
0.01,24,17.3135,1,Vero E6
0.01,25,19.28959,1,Vero E6
0.01,26,21.05741,1,Vero E6
0.01,27,23.70131,1,Vero E6
0.01,28,26.63616,1,Vero E6
0.01,29,30.06055,1,Vero E6
0.01,30,34.40844,1,Vero E6
0.01,31,37.91042,1,Vero E6
0.01,32,42.27237,1,Vero E6
0.01,33,47.03067,1,Vero E6
0.01,34,52.74172,1,Vero E6
0.01,35,57.94918,1,Vero E6
0.01,36,64.86549,1,Vero E6
0.01,37,70.23637,1,Vero E6
0.01,38,76.20083,1,Vero E6
0.01,39,84.98679,1,Vero E6
0.01,40,91.43832,1,Vero E6
0.01,41,96.8822,1,Vero E6
0.01,42,101.5131,1,Vero E6
0.01,43,108.7489,1,Vero E6
0.01,44,114.4337,1,Vero E6
0.01,45,116.0574,1,Vero E6
0.01,46,118.6241,1,Vero E6
0.01,47,121.2871,1,Vero E6
0.01,48,126.0934,1,Vero E6
0.01,0,0,2,Vero E6
0.01,1,0,2,Vero E6
0.01,2,0,2,Vero E6
0.01,3,0,2,Vero E6
0.01,4,0.01050227,2,Vero E6
0.01,5,0.06067808,2,Vero E6
0.01,6,0.1688827,2,Vero E6
0.01,7,0.3536799,2,Vero E6
0.01,8,0.7054213,2,Vero E6
0.01,9,1.117665,2,Vero E6
0.01,10,1.524405,2,Vero E6
0.01,11,2.16311,2,Vero E6
0.01,12,2.70009,2,Vero E6
0.01,13,3.396007,2,Vero E6
0.01,14,4.290468,2,Vero E6
0.01,15,5.29191,2,Vero E6
0.01,16,6.098816,2,Vero E6
0.01,17,6.834436,2,Vero E6
0.01,18,7.887585,2,Vero E6
0.01,19,8.932123,2,Vero E6
0.01,20,10.10325,2,Vero E6
0.01,21,11.46321,2,Vero E6
0.01,22,12.8924,2,Vero E6
0.01,23,14.35615,2,Vero E6
0.01,24,16.27702,2,Vero E6
0.01,25,17.59893,2,Vero E6
0.01,26,19.12709,2,Vero E6
0.01,27,21.18062,2,Vero E6
0.01,28,22.8516,2,Vero E6
0.01,29,25.26455,2,Vero E6
0.01,30,28.72277,2,Vero E6
0.01,31,31.57714,2,Vero E6
0.01,32,35.47978,2,Vero E6
0.01,33,38.88216,2,Vero E6
0.01,34,43.63372,2,Vero E6
0.01,35,48.78302,2,Vero E6
0.01,36,53.05099,2,Vero E6
0.01,37,58.27105,2,Vero E6
0.01,38,63.70991,2,Vero E6
0.01,39,68.40861,2,Vero E6
0.01,40,73.75753,2,Vero E6
0.01,41,79.67145,2,Vero E6
0.01,42,84.34737,2,Vero E6
0.01,43,89.43301,2,Vero E6
0.01,44,95.00126,2,Vero E6
0.01,45,100.6695,2,Vero E6
0.01,46,105.1357,2,Vero E6
0.01,47,108.4932,2,Vero E6
0.01,48,115.5037,2,Vero E6
