MOI,Time,Cell.line,Replicate,Cells
5,0,WT,1,10153.3
5,1,WT,1,5796.289
5,2,WT,1,7025.614
5,3,WT,1,7352.061
5,4,WT,1,7559.213
5,5,WT,1,7047.302
5,6,WT,1,6232.685
5,7,WT,1,5323.272
5,8,WT,1,5721.149
5,9,WT,1,5699.458
5,10,WT,1,5535.857
5,11,WT,1,6887.964
5,12,WT,1,6058.599
5,13,WT,1,7277.615
5,14,WT,1,6808.312
5,15,WT,1,6043.038
5,16,WT,1,6367.611
5,17,WT,1,6159.608
5,18,WT,1,4342.612
5,19,WT,1,6409.896
5,20,WT,1,6036.353
5,21,WT,1,5837.959
5,22,WT,1,6577.458
5,23,WT,1,5935.472
5,24,WT,1,5965.705
5,25,WT,1,5713.932
5,26,WT,1,6128.545
5,27,WT,1,7371.346
5,28,WT,1,6140.042
5,29,WT,1,6860.24
5,30,WT,1,6049.327
5,31,WT,1,6923.213
5,32,WT,1,7863.09
5,33,WT,1,6701.082
5,34,WT,1,6163.733
5,35,WT,1,5662.634
5,36,WT,1,5611.586
5,37,WT,1,5773.539
5,38,WT,1,6878.669
5,39,WT,1,6430.982
5,40,WT,1,7166.875
5,41,WT,1,6844.317
5,42,WT,1,7355.882
5,43,WT,1,7273.705
5,44,WT,1,7176.77
5,45,WT,1,6896.659
5,46,WT,1,7671.585
5,47,WT,1,8322.973
5,48,WT,1,8928.766
5,49,WT,1,9058.328
5,50,WT,1,9570.906
5,51,WT,1,9205.107
5,52,WT,1,10786.06
5,53,WT,1,9688.48
5,54,WT,1,10542.99
5,55,WT,1,10720.81
5,56,WT,1,12626.42
5,57,WT,1,12266.34
5,58,WT,1,14003.14
5,59,WT,1,14580.69
5,60,WT,1,13888.25
5,61,WT,1,15567.55
5,62,WT,1,15445.65
5,63,WT,1,17357.14
5,64,WT,1,17055.91
5,65,WT,1,18135.27
5,66,WT,1,18644.29
5,67,WT,1,18614.59
5,68,WT,1,20165.5
5,69,WT,1,20691.98
5,70,WT,1,22418.29
5,71,WT,1,22267.18
5,72,WT,1,23334.4
5,73,WT,1,24212.55
5,74,WT,1,24526.65
5,75,WT,1,26350.78
5,76,WT,1,26302.63
5,77,WT,1,26622.73
5,78,WT,1,29357.5
5,79,WT,1,29509.04
5,80,WT,1,30387.22
5,81,WT,1,33959.72
5,82,WT,1,33305.24
5,83,WT,1,34039.97
5,84,WT,1,34475.59
5,85,WT,1,35367.5
5,86,WT,1,37212.22
5,87,WT,1,39084.32
5,88,WT,1,40148.77
5,89,WT,1,44135.13
5,90,WT,1,44458.04
5,91,WT,1,47632.8
5,92,WT,1,48011.17
5,93,WT,1,49308.96
5,94,WT,1,51543.93
5,95,WT,1,62881.5
5,96,WT,1,54640.5
5,97,WT,1,56357.56
5,0,WT,2,4335.119
5,1,WT,2,3030.549
5,2,WT,2,2125.238
5,3,WT,2,2017.775
5,4,WT,2,2318.474
