Condition,Copies,Replicate,Cell.line
Mock,30,1,PgsA
Anti-ACE2,24,1,PgsA
Anti-DC SIGN,47,1,PgsA
Anti-GFP,31,1,PgsA
Mock,11,2,PgsA
Anti-ACE2,13,2,PgsA
Anti-DC SIGN,12,2,PgsA
Anti-GFP,21,2,PgsA
Mock,12,3,PgsA
Anti-ACE2,19,3,PgsA
Anti-DC SIGN,16,3,PgsA
Anti-GFP,40,3,PgsA
Mock,64660,1,H522
Anti-ACE2,33572,1,H522
Anti-DC SIGN,74004,1,H522
Anti-GFP,60866,1,H522
Mock,83971,2,H522
Anti-ACE2,40317,2,H522
Anti-DC SIGN,46287,2,H522
Anti-GFP,84299,2,H522
Mock,366764,3,H522
Anti-ACE2,42663,3,H522
Anti-DC SIGN,121172,3,H522
Anti-GFP,321242,3,H522
Mock,12182,1,Calu-3
Anti-ACE2,52,1,Calu-3
Anti-DC SIGN,3306,1,Calu-3
Anti-GFP,40888,1,Calu-3
Mock,15893,2,Calu-3
Anti-ACE2,111,2,Calu-3
Anti-DC SIGN,2473,2,Calu-3
Anti-GFP,2170,2,Calu-3
Mock,1674,3,Calu-3
Anti-ACE2,34,3,Calu-3
Anti-DC SIGN,3842,3,Calu-3
Anti-GFP,69,3,Calu-3
