Condition,Copies,Time
NRP1-KO-clone #1,799,4
NRP1-KO-clone #1,3713,4
NRP1-KO-clone #1,1209,4
NRP1-KO-clone #1,1153,4
NRP1-KO-clone #1,1023,4
NRP1-KO-clone #1,1101752,72
NRP1-KO-clone #1,730057,72
NRP1-KO-clone #1,558563,72
NRP1-KO-clone #1,1632444,72
NRP1-KO-clone #1,1671539,72
NRP1-KO-clone #1,10163587,72
NRP1-KO-clone #1,6570961,72
NRP1-KO-clone #1,7507379,72
NRP1-KO-clone #1,7465565,72
NRP1-KO-clone #1,9299986,72
NRP1-KO-clone #2,1374,4
NRP1-KO-clone #2,900,4
NRP1-KO-clone #2,1234,4
NRP1-KO-clone #2,4576,4
NRP1-KO-clone #2,1395,4
NRP1-KO-clone #2,4820,72
NRP1-KO-clone #2,16699,72
NRP1-KO-clone #2,102522,72
NRP1-KO-clone #2,66560,72
NRP1-KO-clone #2,118964,72
NRP1-KO-clone #2,215443,72
WT #1,514,4
WT #1,4415,4
WT #1,489,4
WT #1,124403,72
WT #1,1276559,72
WT #1,82745,72
WT #1,7125401,72
WT #1,1757667,72
WT #1,1115903,72
NRP1-KO-clone #6,1173,4
NRP1-KO-clone #6,1259,4
NRP1-KO-clone #6,1184,4
NRP1-KO-clone #6,2637,4
NRP1-KO-clone #6,3266,4
NRP1-KO-clone #6,35698,72
NRP1-KO-clone #6,947281,72
NRP1-KO-clone #6,1671961,72
NRP1-KO-clone #6,21626296,72
NRP1-KO-clone #6,2305608,72
NRP1-KO-clone #6,9464473,72
WT #2,2985,4
WT #2,7186,4
WT #2,3279,4
WT #2,2919,4
WT #2,2017896,72
WT #2,3632527,72
WT #2,3098003,72
WT #2,2688441,72
WT #2,5390897,72
WT #2,3603732,72
WT #2,2868462,72
WT #2,343531,72
WT #2,3292546,72
