Condition,Copies
Mock,1.20E+06
Mock,1644258
Mock,585326
Mock,4.05E+05
Mock,2.61E+05
Mock,2.67E+05
Mock,3.80E+05
Mock,2.69E+05
Mock,3.25E+05
1,2.68E+05
1,4.06E+05
1,5.88E+04
1,5.82E+04
1,1.32E+05
1,6.39E+04
1,1.54E+05
1,1.72E+05
2,2.15E+04
2,6.62E+04
2,3.26E+03
2,1.26E+04
2,3.00E+04
2,6.30E+01
2,6.00E+01
2,1.44E+04
3,1.02E+05
3,4.52E+04
3,5.14E+04
3,1.71E+05
3,8.87E+04
3,7.63E+04
3,4.06E+04
3,5.67E+04
4,1.93E+05
4,5.96E+04
4,2.14E+04
4,4.39E+04
4,1.16E+05
4,5.04E+04
4,1.12E+05
4,4.32E+04
5,8.03E+04
5,1.32E+04
5,2.59E+03
5,1.10E+02
5,1.24E+04
5,1.42E+04
5,2.99E+04
5,5.15E+04
