Condition,Day,Dilution,Copies
Mock,-1,320,9.61E+05
Mock,-1,160,4.74E+05
Mock,-1,80,4.76E+05
Mock,-1,40,9.57E+05
Mock,-1,160,1.13E+06
Mock,-1,80,8.58E+05
Mock,-1,40,1.70E+06
Mock,-1,320,4.63E+05
Mock,-1,160,6.03E+05
Mock,-1,80,2.38E+05
Mock,-1,40,3.19E+05
Mock,-1,320,5.31E+05
Mock,-1,160,3.91E+05
Mock,-1,80,3.02E+05
Mock,-1,40,1.88E+05
Mock,-1,320,3.93E+05
Mock,-1,160,2.07E+05
Mock,-1,80,168831
Mock,-1,40,297030
Mock,-1,320,2.05E+05
Mock,-1,80,1.70E+05
Mock,-1,40,1.57E+05
Mock,-1,320,1.85E+05
Mock,-1,160,1.73E+05
Mock,-1,80,151566
Mock,-1,40,318937
Mock,-1,320,1.49E+05
Mock,-1,80,162325
Mock,-1,40,240649
1,0,320,326306
1,0,160,308511
1,0,80,439303
1,0,40,859406
1,0,320,114455
1,0,160,331977
1,0,80,138223
1,0,40,262737
1,0,320,309476
1,0,160,90118
1,0,80,133355
1,0,40,123833
1,0,320,153892
1,0,160,171920
1,0,80,157285
1,0,40,251434
1,35,320,336125
1,35,160,27829
1,35,80,10876
1,35,40,1639
1,35,320,118536
1,35,160,66273
1,35,80,112
1,35,40,72
1,35,320,68455
1,35,160,71398
1,35,80,60
1,35,40,118
1,35,320,98655
1,35,160,68865
1,35,80,31444
1,35,40,80
2,0,320,226976
2,0,160,258239
2,0,80,216278
2,0,40,479528
2,0,320,266970
2,0,160,138315
2,0,80,99679
2,0,40,130934
2,0,320,117668
2,0,160,103013
2,0,80,91505
2,0,40,55954
2,0,320,176711
2,0,160,291467
2,0,80,203605
2,0,40,136553
2,35,320,165128
2,35,160,353583
2,35,80,24535
2,35,40,180
2,35,320,153827
2,35,160,118186
2,35,80,735
2,35,40,43
2,35,320,99034
2,35,160,24140
2,35,80,78
2,35,320,205369
2,35,160,171565
2,35,80,13770
2,35,40,57
3,0,320,4243059
3,0,160,854168
3,0,80,873780
3,0,40,513649
3,0,320,344600
3,0,160,183838
3,0,80,107710
3,0,40,190650
3,0,320,450391
3,0,160,347779
3,0,80,346139
3,0,40,202394
3,0,320,229154
3,0,160,144669
3,0,80,111053
3,0,40,219169
3,35,320,640125
3,35,160,172038
3,35,80,20934
3,35,40,56
3,35,320,156373
3,35,160,56782
3,35,80,18244
3,35,40,58
3,35,320,423293
3,35,160,171431
3,35,80,74
3,35,40,73
3,35,320,129712
3,35,160,54059
3,35,80,11062
3,35,40,32
4,0,320,821912
4,0,160,342460
4,0,80,55612
4,0,40,14217
4,0,320,128101
4,0,160,47088
4,0,80,9383
4,0,40,53
4,0,320,329140
4,0,160,57658
4,0,80,7862
4,0,40,159
4,0,320,283420
4,0,160,94908
4,0,80,8331
4,0,40,46
4,35,160,72
4,35,40,69
4,35,320,121
4,35,160,123
4,35,80,80
4,35,40,85
4,35,320,161
4,35,160,68
4,35,80,72
4,35,40,60
4,35,320,114
4,35,160,72
4,35,80,89
4,35,40,75
