Condition,Copies
Mock infected,1.17E+08
Mock infected,4480106
Mock infected,7609627
Mock infected,2.60E+07
Mock infected,3.52E+07
095-02,1.08E+08
095-02,2.53E+04
095-02,2.47E+06
095-02,4.04E+06
095-02,2.73E+07
102-02,7.60E+06
102-02,8.22E+03
102-02,3.70E+06
102-02,3.99E+06
102-02,1.49E+06
113-02,5.18E+06
113-02,3.69E+04
113-02,3.09E+06
113-02,3.30E+06
113-02,3.99E+06
117-02,5.92E+06
117-02,1.04E+04
117-02,1.80E+06
117-02,7.48E+05
117-02,1.83E+06
119-02,2.14E+07
119-02,3.20E+05
119-02,4.40E+06
119-02,5.47E+06
119-02,4.21E+06
