Condition,Day,Dilution,Copies
Mock,-1,320,3.40E+07
Mock,-1,160,1.78E+07
Mock,-1,80,3.66E+07
Mock,-1,40,1.73E+07
1,0,320,2.83E+07
1,0,160,1.99E+07
1,0,80,3.62E+07
1,0,40,2.81E+07
1,35,320,4.41E+06
1,35,160,4.82E+06
1,35,80,2.42E+05
1,35,40,3.95E+03
2,0,320,2.61E+07
2,0,160,3.02E+07
2,0,80,2.71E+07
2,0,40,4.03E+07
2,35,320,6.34E+06
2,35,160,4.59E+06
2,35,80,15195
2,35,40,3071
3,0,320,2.43E+07
3,0,160,2.80E+07
3,0,80,3.41E+07
3,0,40,2.73E+07
3,35,320,1.46E+07
3,35,160,2.76E+06
3,35,80,285866
3,35,40,2105
4,0,320,3.10E+07
4,0,160,2.18E+07
4,0,80,4514756
4,0,40,522438
4,35,320,3062
4,35,160,4349
4,35,80,3111
4,35,40,1937
