siRNA,gene,abundance,replicate,outlier
Mock Uninfected,ISG15,0.77,1,
Mock Infected,ISG15,30.74,1,
Mock Uninfected,ISG15,1.17,1,
Mock Infected,ISG15,32.71,1,
siScramble uninfected,ISG15,1,1,
siScramble Infected,ISG15,18.32,1,
siTLR3,ISG15,2,1,
siTLR7,ISG15,5.43,1,
siTLR8,ISG15,10.91,1,
siTLR9,ISG15,10.16,1,
siMyD88,ISG15,17.4,1,
siTRIF - TICAM,ISG15,2.37,1,
siRIG-I_DDX58,ISG15,0.6,1,
siMDA5_IFIH1,ISG15,0.29,1,
siLPG2_DHX58,ISG15,2.36,1,
siMAVS,ISG15,0.79,1,
Mock Uninfected,ISG15,0.81,2,
Mock Infected,ISG15,21.12,2,
Mock Uninfected,ISG15,0.84,2,
Mock Infected,ISG15,17.2,2,
siScramble uninfected,ISG15,1,2,
siScramble Infected,ISG15,12.23,2,
siTLR3,ISG15,24.33,2,
siTLR7,ISG15,12.88,2,
siTLR8,ISG15,18.15,2,
siTLR9,ISG15,7.55,2,
siMyD88,ISG15,11.08,2,
siTRIF - TICAM,ISG15,1.74,2,
siRIG-I_DDX58,ISG15,4.32,2,
siMDA5_IFIH1,ISG15,0.77,2,
siLPG2_DHX58,ISG15,5.78,2,
siMAVS,ISG15,1.19,2,
Mock Uninfected,ISG15,0.25,3,
Mock Infected,ISG15,8.49,3,
Mock Uninfected,ISG15,1.14,3,
Mock Infected,ISG15,43.49,3,
siScramble uninfected,ISG15,1,3,
siScramble Infected,ISG15,10.08,3,
siTLR3,ISG15,2.12,3,
siTLR7,ISG15,1.13,3,
siTLR8,ISG15,1.27,3,
siTLR9,ISG15,1.55,3,
siMyD88,ISG15,2.44,3,
siTRIF - TICAM,ISG15,0.64,3,
siRIG-I_DDX58,ISG15,3.36,3,
siMDA5_IFIH1,ISG15,0.4,3,
siLPG2_DHX58,ISG15,7.42,3,
siMAVS,ISG15,1.99,3,
Mock Uninfected,ISG15,3.07,4,
Mock Infected,ISG15,27.92,4,
Mock Uninfected,ISG15,1.5,4,
Mock Infected,ISG15,19.41,4,
siScramble uninfected,ISG15,1,4,
siScramble Infected,ISG15,16.77,4,
siTLR3,ISG15,22.43,4,
siTLR7,ISG15,15.73,4,
siTLR8,ISG15,11.7,4,
siTLR9,ISG15,6.75,4,
siMyD88,ISG15,5.01,4,
siTRIF - TICAM,ISG15,3.54,4,
siRIG-I_DDX58,ISG15,9.2,4,
siMDA5_IFIH1,ISG15,1.88,4,
siLPG2_DHX58,ISG15,8.78,4,
siMAVS,ISG15,2.71,4,
Mock Uninfected,ISG15,0.84,5,
Mock Infected,ISG15,32.68,5,
Mock Uninfected,ISG15,1.86,5,
Mock Infected,ISG15,17.26,5,
siScramble uninfected,ISG15,1,5,
siScramble Infected,ISG15,11.41,5,
siTLR3,ISG15,31.06,5,
siTLR7,ISG15,17.16,5,
siTLR8,ISG15,23.02,5,
siTLR9,ISG15,9.97,5,
siMyD88,ISG15,20.77,5,
siTRIF - TICAM,ISG15,11.11,5,
siRIG-I_DDX58,ISG15,5.44,5,
siMDA5_IFIH1,ISG15,0.79,5,
siLPG2_DHX58,ISG15,4.02,5,
siMAVS,ISG15,0.92,5,
Mock Uninfected,IFIT2,1.35,1,
Mock Infected,IFIT2,52.83,1,
Mock Uninfected,IFIT2,0.8,1,
Mock Infected,IFIT2,71.23,1,
siScramble uninfected,IFIT2,1,1,
siScramble Infected,IFIT2,30.99,1,
siTLR3,IFIT2,26.17,1,
siTLR7,IFIT2,66.91,1,
siTLR8,IFIT2,104.49,1,
siTLR9,IFIT2,44.02,1,
siMyD88,IFIT2,141.33,1,
siTRIF - TICAM,IFIT2,23.77,1,
siRIG-I_DDX58,IFIT2,23.77,1,
siMDA5_IFIH1,IFIT2,1.45,1,
siLPG2_DHX58,IFIT2,11.26,1,
siMAVS,IFIT2,12.72,1,
Mock Uninfected,IFIT2,0.84,2,
Mock Infected,IFIT2,41.2,2,
Mock Uninfected,IFIT2,0.8,2,
Mock Infected,IFIT2,48.25,2,
siScramble uninfected,IFIT2,1,2,
siScramble Infected,IFIT2,25.77,2,
siTLR3,IFIT2,30.44,2,
siTLR7,IFIT2,19.08,2,
siTLR8,IFIT2,40.11,2,
siTLR9,IFIT2,17.81,2,
siMyD88,IFIT2,28.21,2,
siTRIF - TICAM,IFIT2,5.04,2,
siRIG-I_DDX58,IFIT2,12.76,2,
siMDA5_IFIH1,IFIT2,0.47,2,
siLPG2_DHX58,IFIT2,7.6,2,
siMAVS,IFIT2,4.43,2,
Mock Uninfected,IFIT2,1.46,3,
Mock Infected,IFIT2,63.07,3,
Mock Uninfected,IFIT2,1.37,3,
Mock Infected,IFIT2,32.66,3,
siScramble uninfected,IFIT2,1,3,
siScramble Infected,IFIT2,29.76,3,
siTLR3,IFIT2,68.9,3,
siTLR7,IFIT2,17.84,3,
siTLR8,IFIT2,28.18,3,
siTLR9,IFIT2,30.76,3,
siMyD88,IFIT2,38.47,3,
siTRIF - TICAM,IFIT2,14.22,3,
siRIG-I_DDX58,IFIT2,6.38,3,
siMDA5_IFIH1,IFIT2,0.36,3,
siLPG2_DHX58,IFIT2,5.09,3,
siMAVS,IFIT2,6.76,3,
Mock Uninfected,IFIT2,1.87,4,
Mock Infected,IFIT2,44.3,4,
Mock Uninfected,IFIT2,0.81,4,
Mock Infected,IFIT2,29.98,4,
siScramble uninfected,IFIT2,1,4,
siScramble Infected,IFIT2,21.16,4,
siTLR3,IFIT2,16.96,4,
siTLR7,IFIT2,10.75,4,
siTLR8,IFIT2,19.82,4,
siTLR9,IFIT2,12.27,4,
siMyD88,IFIT2,9.07,4,
siTRIF - TICAM,IFIT2,8.55,4,
siRIG-I_DDX58,IFIT2,15.64,4,
siMDA5_IFIH1,IFIT2,0.4,4,
siLPG2_DHX58,IFIT2,7.05,4,
siMAVS,IFIT2,5.91,4,
Mock Uninfected,IFIT2,1.14,5,
Mock Infected,IFIT2,73.05,5,
Mock Uninfected,IFIT2,2,5,
Mock Infected,IFIT2,27.93,5,
siScramble uninfected,IFIT2,1,5,
siScramble Infected,IFIT2,19.97,5,
siTLR3,IFIT2,87.54,5,
siTLR7,IFIT2,48.5,5,
siTLR8,IFIT2,74.05,5,
siTLR9,IFIT2,48.16,5,
siMyD88,IFIT2,51.57,5,
siTRIF - TICAM,IFIT2,23.66,5,
siRIG-I_DDX58,IFIT2,11.42,5,
siMDA5_IFIH1,IFIT2,0.59,5,
siLPG2_DHX58,IFIT2,5.33,5,
siMAVS,IFIT2,4.77,5,
Mock Uninfected,IFIT1,1.42,1,
Mock Infected,IFIT1,83.49,1,
Mock Uninfected,IFIT1,0.98,1,
Mock Infected,IFIT1,87.21,1,
siScramble uninfected,IFIT1,1,1,
siScramble Infected,IFIT1,34.26,1,
siTLR3,IFIT1,50.99,1,
siTLR7,IFIT1,123.31,1,
siTLR8,IFIT1,140.79,1,
siTLR9,IFIT1,65.44,1,
siMyD88,IFIT1,116.49,1,
siTRIF - TICAM,IFIT1,21.01,1,
siRIG-I_DDX58,IFIT1,15.04,1,
siMDA5_IFIH1,IFIT1,0.81,1,
siLPG2_DHX58,IFIT1,14.22,1,
siMAVS,IFIT1,4.99,1,
Mock Uninfected,IFIT1,1.43,2,
Mock Infected,IFIT1,67.45,2,
Mock Uninfected,IFIT1,0.37,2,
Mock Infected,IFIT1,60.03,2,
siScramble uninfected,IFIT1,1,2,
siScramble Infected,IFIT1,32.54,2,
siTLR3,IFIT1,66.49,2,
siTLR7,IFIT1,34.57,2,
siTLR8,IFIT1,37.75,2,
siTLR9,IFIT1,22.82,2,
siMyD88,IFIT1,18.72,2,
siTRIF - TICAM,IFIT1,3.21,2,
siRIG-I_DDX58,IFIT1,13.38,2,
siMDA5_IFIH1,IFIT1,1.09,2,
siLPG2_DHX58,IFIT1,13.29,2,
siMAVS,IFIT1,2.3,2,
Mock Uninfected,IFIT1,0.49,3,
Mock Infected,IFIT1,32.74,3,
Mock Uninfected,IFIT1,0.84,3,
Mock Infected,IFIT1,28.01,3,
siScramble uninfected,IFIT1,1,3,
siScramble Infected,IFIT1,21.43,3,
siTLR3,IFIT1,79.47,3,
siTLR7,IFIT1,27.14,3,
siTLR8,IFIT1,22.09,3,
siTLR9,IFIT1,22.34,3,
siMyD88,IFIT1,22.01,3,
siTRIF - TICAM,IFIT1,9.84,3,
siRIG-I_DDX58,IFIT1,19.29,3,
siMDA5_IFIH1,IFIT1,1.17,3,
siLPG2_DHX58,IFIT1,22.09,3,
siMAVS,IFIT1,4.11,3,
Mock Uninfected,IFIT1,23.42,4,
Mock Infected,IFIT1,472.79,4,
Mock Uninfected,IFIT1,10.02,4,
Mock Infected,IFIT1,281.82,4,
siScramble uninfected,IFIT1,1,4,
siScramble Infected,IFIT1,260.84,4,1
siTLR3,IFIT1,148.69,4,
siTLR7,IFIT1,151.27,4,
siTLR8,IFIT1,74.08,4,
siTLR9,IFIT1,53.23,4,
siMyD88,IFIT1,39,4,
siTRIF - TICAM,IFIT1,33.99,4,
siRIG-I_DDX58,IFIT1,42.42,4,
siMDA5_IFIH1,IFIT1,,4,1
siLPG2_DHX58,IFIT1,23.8,4,
siMAVS,IFIT1,2.89,4,
Mock Uninfected,IFIT1,0.79,5,
Mock Infected,IFIT1,88.66,5,
Mock Uninfected,IFIT1,1.49,5,
Mock Infected,IFIT1,10.36,5,
siScramble uninfected,IFIT1,1,5,
siScramble Infected,IFIT1,24.12,5,
siTLR3,IFIT1,35.53,5,
siTLR7,IFIT1,18.55,5,
siTLR8,IFIT1,18.94,5,
siTLR9,IFIT1,10.38,5,
siMyD88,IFIT1,12.92,5,
siTRIF - TICAM,IFIT1,5.16,5,
siRIG-I_DDX58,IFIT1,3.54,5,
siMDA5_IFIH1,IFIT1,0.37,5,
siLPG2_DHX58,IFIT1,13.4,5,
siMAVS,IFIT1,0.87,5,
Mock Uninfected,MX1,2.04,1,
Mock Infected,MX1,510.51,1,
Mock Uninfected,MX1,1.57,1,
Mock Infected,MX1,555.1,1,
siScramble uninfected,MX1,1,1,
siScramble Infected,MX1,306.4,1,
siTLR3,MX1,111.36,1,
siTLR7,MX1,384.23,1,
siTLR8,MX1,484.22,1,
siTLR9,MX1,140.6,1,
siMyD88,MX1,264.49,1,
siTRIF - TICAM,MX1,71.63,1,
siRIG-I_DDX58,MX1,75.88,1,
siMDA5_IFIH1,MX1,1.94,1,
siLPG2_DHX58,MX1,86.62,1,
siMAVS,MX1,19.54,1,
Mock Uninfected,MX1,0.79,2,
Mock Infected,MX1,492.89,2,
Mock Uninfected,MX1,0.92,2,
Mock Infected,MX1,355.93,2,
siScramble uninfected,MX1,1,2,
siScramble Infected,MX1,237.76,2,
siTLR3,MX1,448.56,2,
siTLR7,MX1,252.18,2,
siTLR8,MX1,373.42,2,
siTLR9,MX1,129.26,2,
siMyD88,MX1,144.54,2,
siTRIF - TICAM,MX1,23.28,2,
siRIG-I_DDX58,MX1,50.97,2,
siMDA5_IFIH1,MX1,1.72,2,
siLPG2_DHX58,MX1,72.38,2,
siMAVS,MX1,12.14,2,
Mock Uninfected,MX1,2.88,3,
Mock Infected,MX1,607.04,3,
Mock Uninfected,MX1,1.64,3,
Mock Infected,MX1,473.4,3,
siScramble uninfected,MX1,1,3,
siScramble Infected,MX1,255.62,3,
siTLR3,MX1,722.16,3,
siTLR7,MX1,186.56,3,
siTLR8,MX1,149.86,3,
siTLR9,MX1,192.95,3,
siMyD88,MX1,151.78,3,
siTRIF - TICAM,MX1,31.84,3,
siRIG-I_DDX58,MX1,98.46,3,
siMDA5_IFIH1,MX1,1.9,3,
siLPG2_DHX58,MX1,182.02,3,
siMAVS,MX1,34.28,3,
Mock Uninfected,MX1,0.72,4,
Mock Infected,MX1,583.74,4,
Mock Uninfected,MX1,2.2,4,
Mock Infected,MX1,242,4,
siScramble uninfected,MX1,1,4,
siScramble Infected,MX1,301.06,4,
siTLR3,MX1,114.31,4,
siTLR7,MX1,169.33,4,
siTLR8,MX1,159.12,4,
siTLR9,MX1,109.24,4,
siMyD88,MX1,92.82,4,
siTRIF - TICAM,MX1,36.65,4,
siRIG-I_DDX58,MX1,28.38,4,
siMDA5_IFIH1,MX1,0.8,4,
siLPG2_DHX58,MX1,21.91,4,
siMAVS,MX1,4.63,4,
Mock Uninfected,MX1,1.07,5,
Mock Infected,MX1,2121.38,5,
Mock Uninfected,MX1,2.86,5,
Mock Infected,MX1,379.13,5,
siScramble uninfected,MX1,1,5,
siScramble Infected,MX1,481.86,5,
siTLR3,MX1,1629.94,5,
siTLR7,MX1,1266.42,5,
siTLR8,MX1,1333.84,5,
siTLR9,MX1,644.89,5,
siMyD88,MX1,655.78,5,
siTRIF - TICAM,MX1,225.1,5,
siRIG-I_DDX58,MX1,54.67,5,
siMDA5_IFIH1,MX1,4.53,5,
siLPG2_DHX58,MX1,67.12,5,
siMAVS,MX1,23.81,5,
Mock Uninfected,Viral RNA,0,1,
Mock Infected,Viral RNA,7215553,1,
Mock Uninfected,Viral RNA,3,1,
Mock Infected,Viral RNA,12135876,1,
siScramble uninfected,Viral RNA,0,1,
siScramble Infected,Viral RNA,22885195,1,
siTLR3,Viral RNA,6747525,1,
siTLR7,Viral RNA,13030237,1,
