siRNA,gene,abundance,replicate,outlier
Mock uninfected,ISG15,0.77,1,
Mock infected,ISG15,30.74,1,
Mock uninfected,ISG15,1.17,1,
Mock infected,ISG15,32.71,1,
NT uninfected,ISG15,1,1,
NT infected,ISG15,18.32,1,
Mock uninfected,ISG15,0.81,2,
Mock infected,ISG15,21.12,2,
Mock uninfected,ISG15,0.84,2,
Mock infected,ISG15,17.2,2,
NT uninfected,ISG15,1,2,
NT infected,ISG15,12.23,2,
Mock uninfected,ISG15,0.25,3,
Mock infected,ISG15,8.49,3,
Mock uninfected,ISG15,1.14,3,
Mock infected,ISG15,43.49,3,
NT uninfected,ISG15,1,3,
NT infected,ISG15,10.08,3,
Mock uninfected,ISG15,3.07,4,
Mock infected,ISG15,27.92,4,
Mock uninfected,ISG15,1.5,4,
Mock infected,ISG15,19.41,4,
NT uninfected,ISG15,1,4,
NT infected,ISG15,16.77,4,
Mock uninfected,ISG15,0.84,5,
Mock infected,ISG15,32.68,5,
Mock uninfected,ISG15,1.86,5,
Mock infected,ISG15,17.26,5,
NT uninfected,ISG15,1,5,
NT infected,ISG15,11.41,5,
Mock uninfected,IFIT2,1.35,1,
Mock infected,IFIT2,52.83,1,
Mock uninfected,IFIT2,0.8,1,
Mock infected,IFIT2,71.23,1,
NT uninfected,IFIT2,1,1,
NT infected,IFIT2,30.99,1,
Mock uninfected,IFIT2,0.84,2,
Mock infected,IFIT2,41.2,2,
Mock uninfected,IFIT2,0.8,2,
Mock infected,IFIT2,48.25,2,
NT uninfected,IFIT2,1,2,
NT infected,IFIT2,25.77,2,
Mock uninfected,IFIT2,1.46,3,
Mock infected,IFIT2,63.07,3,
Mock uninfected,IFIT2,1.37,3,
Mock infected,IFIT2,32.66,3,
NT uninfected,IFIT2,1,3,
NT infected,IFIT2,29.76,3,
Mock uninfected,IFIT2,1.87,4,
Mock infected,IFIT2,44.3,4,
Mock uninfected,IFIT2,0.81,4,
Mock infected,IFIT2,29.98,4,
NT uninfected,IFIT2,1,4,
NT infected,IFIT2,21.16,4,
Mock uninfected,IFIT2,1.14,5,
Mock infected,IFIT2,73.05,5,
Mock uninfected,IFIT2,2,5,
Mock infected,IFIT2,27.93,5,
NT uninfected,IFIT2,1,5,
NT infected,IFIT2,19.97,5,
Mock uninfected,IFIT1,1.42,1,
Mock infected,IFIT1,83.49,1,
Mock uninfected,IFIT1,0.98,1,
Mock infected,IFIT1,87.21,1,
NT uninfected,IFIT1,1,1,
NT infected,IFIT1,34.26,1,
Mock uninfected,IFIT1,1.43,2,
Mock infected,IFIT1,67.45,2,
Mock uninfected,IFIT1,0.37,2,
Mock infected,IFIT1,60.03,2,
NT uninfected,IFIT1,1,2,
NT infected,IFIT1,32.54,2,
Mock uninfected,IFIT1,0.49,3,
Mock infected,IFIT1,32.74,3,
Mock uninfected,IFIT1,0.84,3,
Mock infected,IFIT1,28.01,3,
NT uninfected,IFIT1,1,3,
NT infected,IFIT1,21.43,3,
Mock uninfected,IFIT1,23.42,4,
Mock infected,IFIT1,472.79,4,
Mock uninfected,IFIT1,10.02,4,
Mock infected,IFIT1,281.82,4,
NT uninfected,IFIT1,1,4,
NT infected,IFIT1,260.84,4,1
Mock uninfected,IFIT1,0.79,5,
Mock infected,IFIT1,88.66,5,
Mock uninfected,IFIT1,1.49,5,
Mock infected,IFIT1,10.36,5,
NT uninfected,IFIT1,1,5,
NT infected,IFIT1,24.12,5,
Mock uninfected,MX1,2.04,1,
Mock infected,MX1,510.51,1,
Mock uninfected,MX1,1.57,1,
Mock infected,MX1,555.1,1,
NT uninfected,MX1,1,1,
NT infected,MX1,306.4,1,
Mock uninfected,MX1,0.79,2,
Mock infected,MX1,492.89,2,
Mock uninfected,MX1,0.92,2,
Mock infected,MX1,355.93,2,
NT uninfected,MX1,1,2,
NT infected,MX1,237.76,2,
Mock uninfected,MX1,2.88,3,
Mock infected,MX1,607.04,3,
Mock uninfected,MX1,1.64,3,
Mock infected,MX1,473.4,3,
NT uninfected,MX1,1,3,
NT infected,MX1,255.62,3,
Mock uninfected,MX1,0.72,4,
Mock infected,MX1,583.74,4,
Mock uninfected,MX1,2.2,4,
Mock infected,MX1,242,4,
NT uninfected,MX1,1,4,
NT infected,MX1,301.06,4,
Mock uninfected,MX1,1.07,5,
Mock infected,MX1,2121.38,5,
Mock uninfected,MX1,2.86,5,
Mock infected,MX1,379.13,5,
NT uninfected,MX1,1,5,
NT infected,MX1,481.86,5,
