Cell.line	Norm.expression	sd
Vero E6	3.79E-09	4.05E-10
H522	2.79E-11	
H522	3.72E-11	
H522	0.00E+00	
H596	2.95E-09	
H596	4.37E-10	
H596	8.74E-10	
H1299	1.98E-10	
H1299	6.42E-10	
H1299	2.83E-10	
A427	0.00E+00	
A427	0.00E+00	
A427	0.00E+00	
HCC827	1.77E-09	
HCC827	3.11E-09	
HCC827	5.42E-10	
PC-9	9.77E-10	
PC-9	2.60E-09	
PC-9	1.09E-09	
Detroit562	2.87E-09	
Detroit562	2.34E-09	
Detroit562	3.86E-10	
SCC25	3.17E-09	
SCC25	2.28E-09	
SCC25	5.48E-10	
KYSE30	3.87E-10	
KYSE30	1.06E-09	
KYSE30	4.65E-10	
OE21	1.98E-10	
OE21	2.50E-10	
OE21	7.63E-11	
