Concentration,Viral RNA,Replicate,Cell.line
0,100,1,Vero E6
12.5,0,1,Vero E6
25,4,1,Vero E6
50,2,1,Vero E6
100,1,1,Vero E6
0,100,2,Vero E6
12.5,4,2,Vero E6
25,2,2,Vero E6
50,1,2,Vero E6
100,0,2,Vero E6
0,100,3,Vero E6
12.5,3,3,Vero E6
25,2,3,Vero E6
50,1,3,Vero E6
100,0,3,Vero E6
0,100,1,H522
12.5,7,1,H522
25,30,1,H522
50,5,1,H522
100,2,1,H522
0,100,2,H522
12.5,11,2,H522
25,7,2,H522
50,1,2,H522
100,2,2,H522
0,100,3,H522
12.5,4,3,H522
25,16,3,H522
50,2,3,H522
100,1,3,H522
0,100,1,H522-ACE2
12.5,101,1,H522-ACE2
25,100,1,H522-ACE2
50,32,1,H522-ACE2
100,14,1,H522-ACE2
0,100,2,H522-ACE2
12.5,79,2,H522-ACE2
25,56,2,H522-ACE2
50,37,2,H522-ACE2
100,11,2,H522-ACE2
0,100,3,H522-ACE2
12.5,56,3,H522-ACE2
25,48,3,H522-ACE2
50,16,3,H522-ACE2
100,11,3,H522-ACE2
