Cell.line,Time,Viral Load,Replicate,MOI
Vero E6,4,1300,1,0.15
Vero E6,72,810000,1,0.15
Vero E6,4,2900,2,0.15
Vero E6,72,6.30E+07,2,0.15
Vero E6,4,320000,3,0.15
Vero E6,72,1.20E+07,3,0.15
Detroit562,4,21,1,0.15
Detroit562,72,2,1,0.15
Detroit562,4,850,2,0.15
Detroit562,72,480,2,0.15
Detroit562,4,720,3,0.15
Detroit562,72,300,3,0.15
SCC25,4,46,1,0.15
SCC25,72,32,1,0.15
SCC25,4,1700,2,0.15
SCC25,72,1200,2,0.15
SCC25,4,860,3,0.15
SCC25,72,500,3,0.15
OE21,4,32,1,0.15
OE21,72,1,1,0.15
OE21,4,820,2,0.15
OE21,72,940,2,0.15
OE21,4,1800,3,0.15
OE21,72,770,3,0.15
KYSE30,4,18,1,0.15
KYSE30,72,0,1,0.15
KYSE30,4,810,2,0.15
KYSE30,72,1100,2,0.15
KYSE30,4,930,3,0.15
KYSE30,72,200,3,0.15
H522,4,46,1,0.15
H522,72,390000,1,0.15
H522,4,1000,2,0.15
H522,72,24000,2,0.15
H522,4,1900,3,0.15
H522,72,1.00E+06,3,0.15
H596,4,36,1,0.15
H596,72,4,1,0.15
H596,4,820,2,0.15
H596,72,800,2,0.15
H596,4,660,3,0.15
H596,72,270,3,0.15
H1299,4,2,1,0.15
H1299,72,23,1,0.15
H1299,4,1500,2,0.15
H1299,72,1700,2,0.15
H1299,4,2900,3,0.15
H1299,72,480,3,0.15
HCC827,4,16,1,0.15
HCC827,72,250,1,0.15
HCC827,4,980,2,0.15
HCC827,72,2500,2,0.15
HCC827,4,530,3,0.15
HCC827,72,1500,3,0.15
HCC827,4,3055,4,0.15
HCC827,72,208126,4,0.15
HCC827,72,214422,4,0.15
PC-9,4,63,1,0.15
PC-9,72,10,1,0.15
PC-9,4,1000,2,0.15
PC-9,72,500,2,0.15
PC-9,4,1100,3,0.15
PC-9,72,210,3,0.15
A427,4,1,1,0.15
A427,72,1,1,0.15
A427,4,1100,2,0.15
A427,72,230,2,0.15
A427,4,1300,3,0.15
A427,72,530,3,0.15
Vero E6,4,190,1,0.015
Vero E6,72,1.60E+06,1,0.015
Vero E6,4,170,2,0.015
Vero E6,72,9.40E+07,2,0.015
Vero E6,4,47000,3,0.015
Vero E6,72,1.50E+07,3,0.015
Detroit562,4,3,1,0.015
Detroit562,72,0,1,0.015
Detroit562,4,100,2,0.015
Detroit562,72,100,2,0.015
Detroit562,4,150,3,0.015
Detroit562,72,20,3,0.015
SCC25,4,4,1,0.015
SCC25,72,0,1,0.015
SCC25,4,120,2,0.015
SCC25,72,160,2,0.015
SCC25,4,110,3,0.015
SCC25,72,20,3,0.015
OE21,4,2,1,0.015
OE21,72,0,1,0.015
OE21,4,87,2,0.015
OE21,72,110,2,0.015
OE21,4,260,3,0.015
OE21,72,98,3,0.015
KYSE30,4,2,1,0.015
KYSE30,72,6,1,0.015
KYSE30,4,130,2,0.015
KYSE30,72,51,2,0.015
KYSE30,4,85,3,0.015
KYSE30,72,16,3,0.015
H522,4,2,1,0.015
H522,72,8800,1,0.015
H522,4,83,2,0.015
H522,72,330,2,0.015
H522,4,170,3,0.015
H522,72,260000,3,0.015
H596,4,0,1,0.015
H596,72,0,1,0.015
H596,4,92,2,0.015
H596,72,82,2,0.015
H596,4,67,3,0.015
H596,72,82,3,0.015
H1299,4,0,1,0.015
H1299,72,48,1,0.015
H1299,4,250,2,0.015
H1299,72,44,2,0.015
H1299,4,240,3,0.015
H1299,72,25,3,0.015
HCC827,4,1,1,0.015
HCC827,72,11,1,0.015
HCC827,4,97,2,0.015
HCC827,72,2300,2,0.015
HCC827,4,130,3,0.015
HCC827,72,16000,3,0.015
PC-9,4,2,1,0.015
PC-9,72,3,1,0.015
PC-9,4,170,2,0.015
PC-9,72,78,2,0.015
PC-9,4,250,3,0.015
PC-9,72,12,3,0.015
A427,4,0,1,0.015
A427,72,0,1,0.015
A427,4,95,2,0.015
A427,72,33,2,0.015
A427,4,190,3,0.015
A427,72,39,3,0.015
