Cell.line,Time,Viral Load,Replicate
Vero E6,4,5057144,1
Vero E6,72,42123415552,1
Vero E6,4,527000,2
Vero E6,72,2.94E+11,2
Vero E6,4,147000000,3
Vero E6,72,46300000000,3
Detroit562,4,72296,1
Detroit562,72,0,1
Detroit562,4,324000,2
Detroit562,72,312000,2
Detroit562,4,461000,3
Detroit562,72,63600,3
SCC25,4,117758,1
SCC25,72,0,1
SCC25,4,381000,2
SCC25,72,491000,2
SCC25,4,350000,3
SCC25,72,63900,3
OE21,4,48414,1
OE21,72,140,1
OE21,4,273000,2
OE21,72,342000,2
OE21,4,809000,3
OE21,72,307000,3
KYSE30,4,45474,1
KYSE30,72,153943,1
KYSE30,4,396000,2
KYSE30,72,161000,2
KYSE30,4,266000,3
KYSE30,72,50800,3
H522,4,41626,1
H522,72,232627776,1
H522,4,258000,2
H522,72,1020000,2
H522,4,532000,3
H522,72,811000000,3
H596,4,9923,1
H596,72,1059,1
H596,4,288000,2
H596,72,255000,2
H596,4,211000,3
H596,72,88500,3
H1299,4,9732,1
H1299,72,1262641,1
H1299,4,787000,2
H1299,72,139000,2
H1299,4,759000,3
H1299,72,78600,3
HCC827,4,38458,1
HCC827,72,286984,1
HCC827,4,302000,2
HCC827,72,7120000,2
HCC827,4,404000,3
HCC827,72,51300000,3
PC-9,4,60715,1
PC-9,72,78536,1
PC-9,4,536000,2
PC-9,72,243000,2
PC-9,4,788000,3
PC-9,72,36300,3
A427,4,2258,1
A427,72,0,1
A427,4,273000,2
A427,72,103000,2
A427,4,595000,3
A427,72,121000,3
