Cell.line,Time,Viral Load,Replicate
Vero E6,4,1300,1
Vero E6,72,810000,1
Vero E6,4,2900,2
Vero E6,72,6.30E+07,2
Vero E6,4,320000,3
Vero E6,72,1.20E+07,3
Detroit562,4,21,1
Detroit562,72,2,1
Detroit562,4,850,2
Detroit562,72,480,2
Detroit562,4,720,3
Detroit562,72,300,3
SCC25,4,46,1
SCC25,72,32,1
SCC25,4,1700,2
SCC25,72,1200,2
SCC25,4,860,3
SCC25,72,500,3
OE21,4,32,1
OE21,72,1,1
OE21,4,820,2
OE21,72,940,2
OE21,4,1800,3
OE21,72,770,3
KYSE30,4,18,1
KYSE30,72,0,1
KYSE30,4,810,2
KYSE30,72,1100,2
KYSE30,4,930,3
KYSE30,72,200,3
H522,4,46,1
H522,72,390000,1
H522,4,1000,2
H522,72,24000,2
H522,4,1900,3
H522,72,1.00E+06,3
H596,4,36,1
H596,72,4,1
H596,4,820,2
H596,72,800,2
H596,4,660,3
H596,72,270,3
H1299,4,2,1
H1299,72,23,1
H1299,4,1500,2
H1299,72,1700,2
H1299,4,2900,3
H1299,72,480,3
HCC827,4,16,1
HCC827,72,250,1
HCC827,4,980,2
HCC827,72,2500,2
HCC827,4,530,3
HCC827,72,1500,3
PC-9,4,63,1
PC-9,72,10,1
PC-9,4,1000,2
PC-9,72,500,2
PC-9,4,1100,3
PC-9,72,210,3
A427,4,1,1
A427,72,1,1
A427,4,1100,2
A427,72,230,2
A427,4,1300,3
A427,72,530,3
