MOI,Time,Viral Load,Replicate
0.015,0,0,1
0.015,4,29618,1
0.015,24,34123028,1
0.015,48,130264720,1
0.015,72,205603664,1
0.015,96,349065952,1
0.015,0,7514,2
0.015,4,126676,2
0.015,24,111121810,2
0.015,48,482078621,2
0.015,72,2966346592,2
0.015,96,6677168232,2
0.06,0,0,1
0.06,4,358529,1
0.06,24,513088864,1
0.06,48,1249810944,1
0.06,72,615189376,1
0.06,96,824370240,1
0.06,0,0,2
0.06,4,1001314,2
0.06,24,746879425,2
0.06,48,3776011567,2
0.06,72,15829684608,2
0.06,96,17524559367,2
0.25,0,0,1
0.25,4,309030,1
0.25,24,2296015616,1
0.25,48,5466427392,1
0.25,72,2400335104,1
0.25,96,935007744,1
0.25,0,96,2
0.25,4,4578024,2
0.25,24,4507074696,2
0.25,48,12584713753,2
0.25,72,19261442892,2
0.25,96,19001392377,2
1,0,0,1
1,4,779311,1
1,24,2542646784,1
1,48,1927106688,1
1,72,4908006400,1
1,96,2280546304,1
1,0,4577,2
1,4,6335458,2
1,24,6044567455,2
1,48,15330253014,2
1,72,22548578000,2
1,96,12084889408,2
