ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
BCL6-HDAC4 complex	P41182;P56524	604;9759	"DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation"	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	BCL6;HDAC4	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	None
BCL6-HDAC5 complex	P41182;Q9UQL6	604;10014	"DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation"	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	BCL6;HDAC5	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	None
BCL6-HDAC7 complex	P41182;Q8WUI4	604;51564	"DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation"	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	BCL6;HDAC7	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	None
Multisubunit ACTR coactivator complex	Q09472;Q92793;Q92831;Q9Y6Q9	2033;1387;8850;8202	"positive regulation of transcription, DNA-templated;signaling;nucleus"	transcription activation;cellular signalling;nucleus	EP300;CREBBP;KAT2B;NCOA3	None	Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.	None
Condensin I complex	O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3	10592;23397;9918;64151;10051	M phase;mitotic nuclear division;chromosome condensation;chromosome segregation;chromosome organization;chromosome	M phase;chromosome condensation;chromosome segregation/division;organization of chromosome structure;chromosome	SMC2;NCAPH;NCAPD2;NCAPG;SMC4	None	None	None
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Q92902;Q9NQG7	3257;89781	endosome organization;lysosome organization;vacuole organization	endosome;vacuole or lysosome	HPS1;HPS4	None	The results suggest that HPS1 and HPS4 are components of a protein complex that regulates the intracellular localization of lysosomes and late endosomes and may function in a BLOC-1-dependent pathway for melanosome biogenesis.	"HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569)."
BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Q86YV9;Q969F9;Q9UPZ3	79803;84343;11234	endosome organization;lysosome organization;vacuole organization	endosome;vacuole or lysosome	HPS6;HPS3;HPS5	None	The results suggest that BLOC-2 is not critical for basal levels of secretion of lysosomal enzymes by fibroblasts.	"HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome."
MUS81-CDS1 complex	Q92903;Q96NY9	1040;80198	DNA repair;DNA recombination	DNA repair;DNA recombination	CDS1;MUS81	None	"Human Mus81-associated endonuclease resolves Holliday junctions into linear duplexes by cutting across the junction exclusively on strands of like polarity. In addition, Mus81 protein abundance increases in cells following exposure to agents that block DNA replication. Taken together, these findings suggest a role for Mus81 in resolving Holliday junctions that arise when DNA replication is blocked by damage or by nucleotide depletion. Mus81 is not related by sequence to previously characterized Holliday junction resolving enzymes, and it has distinct enzymatic properties that suggest it uses a novel enzymatic strategy to cleave Holliday junctions. Mus81 interacts with the FHA domain of Cds1."	None
NCOR complex	O15379;O60907;O75376;Q13227;Q92828;Q9BZK7	8841;6907;9611;2874;7464;79718	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1	None	"Corepressors N-CoR and SMRT participate in diverse repression pathways and exist in large protein complexes including HDAC3, TBL1 and TBLR1. The purified N-CoR complex contains 10-12 associated proteins, including previously identified components and a novel actin-binding protein IR10. It is show that TBL1/TBLR1 associates with N-CoR through two independent interactions: the N-terminal region and the C-terminal WD-40 repeats interact with the N-CoR RD1 and RD4 region, respectively. In vitro, TBL1/TBLR1 bind histones H2B and H4, and, importantly, repression by TBL1/TBLR1 correlates with their interaction with histones. By using specific small interference RNAs (siRNAs), the authors demonstrate that HDAC3 is essential, whereas TBL1 and TBLR1 are functionally redundant but essential for repression by unliganded thyroid hormone receptor."	None
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45	23557;2647;388552;282991;63915;84062;55330;26258	None	None	SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;DTNBP1;BLOC1S4;BLOC1S6	None	"The authors identified Snapin, BLOS1, BLOS2, and BLOS3 as subunits of BLOC-1 and found that the HPS mouse model strain, reduced pigmentation, carries a nonsense mutation in BLOS3. The genes encoding these proteins may underlie the pathogenesis of novel forms of HPS in patients having no detectable mutation in any of the genes that cause HPS types 1-7."	"PLDN, MUTED, CNO and DTNBP1 are involved in Hermansky-Pudlak syndrome (HPS), a genetic disorder characterized by hypopigmentation and platelet storage pool deficiency."
